Detector Type,Descriptor Type,Frame # ,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms)),Lidar TTC,Camera TTC
FAST,BRIEF,1,1.61096300,10.39242900,29.18157200,12.51559999,11.75025762
FAST,BRIEF,2,1.58321300,10.67398400,29.72453400,12.61424528,11.75833100
FAST,BRIEF,3,1.65449500,10.39651900,29.34679500,14.09101251,13.95504238
FAST,BRIEF,4,1.67992500,10.28685600,28.16732100,16.68938579,13.13092144
FAST,BRIEF,5,1.52836200,10.17653400,27.47292600,15.90823278,14.82975167
FAST,BRIEF,6,1.63492500,10.19091400,28.83319600,12.67871582,13.59415639
FAST,BRIEF,7,1.61957400,10.74076500,27.80618400,11.98435083,13.27744400
FAST,BRIEF,8,1.63592500,10.12635300,26.91407600,13.12411806,12.77493876
FAST,BRIEF,9,1.66587500,11.60322300,28.67783300,13.02411806,12.80077822
FAST,BRIEF,10,1.63983400,10.33348700,28.88710700,11.17464148,13.00924912
FAST,BRIEF,11,1.67365500,10.37477800,29.50899100,12.80860114,11.87021281
FAST,BRIEF,12,1.67106600,10.07005300,30.47236000,8.95978042,11.52555495
FAST,BRIEF,13,1.95738200,10.23731600,30.17374400,9.96439004,11.70655819
FAST,BRIEF,14,1.58399400,9.95478900,28.81612700,9.59862989,10.64516099
FAST,BRIEF,15,1.66795600,10.90252900,30.28825800,8.57352453,11.53116941
FAST,BRIEF,16,1.96094200,11.81499900,30.76387800,9.51616986,10.32303485
FAST,BRIEF,17,1.77890700,10.68175500,30.58928400,9.54658114,9.89452472
FAST,BRIEF,18,1.75282700,10.54718300,30.90782000,8.39880325,11.50807516

FAST,ORB,1,1.61002400,5.40494400,28.31373700,12.51559999,11.47269053
FAST,ORB,2,1.59818400,5.95798600,29.38546900,12.61424528,11.94394741
FAST,ORB,3,1.56095300,5.17057900,28.02704000,14.09101251,11.66265205
FAST,ORB,4,1.57846400,5.18490900,27.10224100,16.68938579,12.96690639
FAST,ORB,5,1.55458200,5.09185700,27.84917700,15.90823278,13.56728853
FAST,ORB,6,1.75369700,5.29433100,26.85469700,12.67871582,12.29959010
FAST,ORB,7,1.84143800,6.61442000,27.88461800,11.98435083,13.50541403
FAST,ORB,8,1.66803500,5.34358200,27.71023500,13.12411806,12.43901144
FAST,ORB,9,1.82520900,5.59400800,27.50388100,13.02411806,12.17879989
FAST,ORB,10,1.64238500,5.48718600,27.72217500,11.17464148,13.20950727
FAST,ORB,11,1.84097800,5.44120600,28.46607100,12.80860114,11.85067099
FAST,ORB,12,1.69482600,5.45954500,28.08896400,8.95978042,11.26704100
FAST,ORB,13,1.64623500,5.22614000,27.12697300,9.96439004,11.53722611
FAST,ORB,14,2.47613300,5.63920900,27.72640600,9.59862989,10.65289142
FAST,ORB,15,1.68065600,5.54650800,29.73661800,8.57352453,10.01769061
FAST,ORB,16,1.87474900,5.94281600,29.43365200,9.51616986,10.28756911
FAST,ORB,17,1.62749400,5.62680000,29.15947600,9.54658114,9.67815831
FAST,ORB,18,1.69644600,6.73507300,29.78207000,8.39880325,11.26644575

FAST,SIFT,1,2.15983500,41.18273100,45.53251300,12.51559999,12.00331956
FAST,SIFT,2,1.57493400,37.82999100,42.46508900,12.61424528,11.50927090
FAST,SIFT,3,1.58353300,37.63390700,41.06183000,14.09101251,13.15023255
FAST,SIFT,4,1.91991100,35.26946700,40.35447400,16.68938579,12.85950331
FAST,SIFT,5,1.71327600,37.56386600,40.98445800,15.90823278,13.68083397
FAST,SIFT,6,1.72009600,35.77115700,41.54542100,12.67871582,12.72317111
FAST,SIFT,7,1.61883500,38.82221300,41.62836200,11.98435083,12.52129435
FAST,SIFT,8,1.78762800,37.52839600,41.53055000,13.12411806,12.65019685
FAST,SIFT,9,1.63633400,36.41836100,42.17773400,13.02411806,12.98450208
FAST,SIFT,10,1.60398400,37.30332000,43.04840200,11.17464148,13.05145527
FAST,SIFT,11,1.66822500,38.24918100,44.82023100,12.80860114,11.81314005
FAST,SIFT,12,1.59612400,37.35442300,43.51394300,8.95978042,11.54114795
FAST,SIFT,13,1.72986700,37.26006200,42.56010300,9.96439004,11.92905398
FAST,SIFT,14,1.64213500,37.05848700,43.03801400,9.59862989,11.31963658
FAST,SIFT,15,1.91749100,41.16135500,45.01054600,8.57352453,10.91152308
FAST,SIFT,16,1.68758500,39.10497000,46.36491500,9.51616986,10.96489499
FAST,SIFT,17,1.71104600,39.30064400,47.17930200,9.54658114,10.53412399
FAST,SIFT,18,1.63565400,40.24633500,47.49792900,8.39880325,11.66044225

